open,high,low,vol,amount,close
34.51,37.78,32.85,406318.0,1410347.179,35.55
34.99,37.0,34.61,129647.79,463463.143,36.86
36.98,37.0,36.1,53252.75,194689.62,36.38
36.28,37.51,36.0,48013.06,177558.558,37.1
37.15,37.62,36.8,23231.48,86231.237,37.01
37.2,37.57,36.85,22112.09,82129.438,36.99
37.01,38.08,36.88,37006.77,139204.38,37.46
37.61,37.92,37.21,26066.95,97796.243,37.44
37.35,37.47,36.51,28997.03,107078.403,36.7
36.5,36.95,35.65,31552.25,113868.743,35.68
35.4,36.85,35.01,18878.89,68406.471,36.7
36.8,36.95,36.2,11390.81,41579.698,36.29
35.33,36.2,35.3,25045.19,89421.38,35.98
36.01,36.3,35.7,10986.68,39512.775,35.89
36.01,36.5,35.8,7672.83,27740.691,36.3
36.08,36.29,35.5,8983.97,32183.249,35.84
35.88,36.55,35.85,10773.26,39006.062,36.25
36.3,36.92,36.06,8650.53,31597.369,36.92
36.9,37.05,36.5,11173.35,41189.577,36.61
36.28,36.6,36.0,7879.72,28638.681,36.06
36.06,36.39,36.0,4068.6,14703.096,36.05
36.28,36.54,36.05,3488.45,12639.79,36.23
36.11,36.48,36.0,4956.26,17892.565,36.08
36.08,36.98,36.0,8778.04,32085.131,36.7
36.9,37.2,36.5,17088.47,63169.143,37.09
37.0,37.18,36.25,6552.17,24091.149,36.58
36.6,37.5,36.6,9558.52,35498.605,37.3
37.3,37.43,36.03,17548.69,63956.753,36.1
36.01,36.5,35.65,12306.84,44319.896,35.75
35.9,36.65,34.05,20010.7,70897.331,36.0
35.9,36.0,34.9,9755.31,34501.714,35.3
35.13,35.8,34.75,8319.91,29068.173,34.8
34.79,34.81,33.9,12507.68,42766.283,34.2
34.2,34.66,33.91,4983.46,16999.063,34.04
34.0,34.15,33.01,15687.54,52422.843,33.5
33.3,33.7,32.7,9760.65,32268.911,32.79
36.0,36.07,35.01,40598.24,145710.538,36.07
36.78,36.8,35.11,40682.39,147001.102,35.86
35.7,35.8,34.86,16036.86,56527.283,34.88
34.7,35.1,34.42,9002.2,31280.145,35.0
34.88,35.63,34.88,4587.86,16205.054,35.3
35.25,35.49,34.92,3484.17,12214.728,35.0
35.0,35.09,34.8,4762.47,16633.345,35.05
35.05,35.64,34.95,6643.03,23511.58,35.57
35.28,35.72,35.16,3435.2,12189.356,35.36
35.0,35.26,34.7,3690.76,12879.737,34.9
34.8,35.3,34.72,2609.31,9138.666,35.15
35.0,35.0,33.8,9325.38,31791.131,33.85
33.35,33.89,32.98,7402.16,24682.905,33.7
33.7,34.48,33.34,3760.76,12737.203,34.15
34.4,34.4,33.52,2683.33,9088.858,33.6
33.28,33.7,33.21,2673.81,8965.279,33.64
33.64,34.0,33.64,769.0,2599.26,33.65
33.65,33.8,33.5,2193.45,7378.238,33.68
36.2,36.2,33.99,9954.7,34600.364,34.09
34.15,35.08,34.1,3734.61,12950.484,35.05
35.2,35.53,34.9,8069.08,28559.195,35.38
35.48,35.5,34.9,5114.42,17957.63,35.18
35.22,35.3,34.91,4198.79,14713.84,35.12
35.01,35.25,34.78,3960.9,13866.447,34.98
35.0,35.0,34.5,3100.99,10749.495,34.61
34.58,35.07,34.58,2569.48,8954.894,35.0
35.05,35.39,34.9,3773.62,13256.608,35.05
35.01,35.2,34.81,3046.18,10658.762,34.83
34.83,35.45,34.8,4070.97,14292.95,35.34
35.35,36.27,35.34,16037.05,57741.7,36.17
36.25,36.27,35.81,6894.99,24859.86,36.21
37.0,37.0,35.96,15028.35,54737.513,36.0
35.9,36.3,35.8,6372.22,23004.767,36.06
36.1,36.2,35.8,3908.2,14031.912,35.86
36.0,36.08,35.71,4161.56,14941.666,35.99
36.0,36.0,35.61,3580.02,12821.499,35.64
35.6,36.1,35.6,4632.67,16611.472,35.77
35.61,35.97,35.2,3540.45,12580.276,35.26
35.02,35.5,35.02,2841.25,10026.619,35.2
35.11,35.61,35.05,4413.89,15611.05,35.36
35.48,35.96,35.1,4821.2,17167.382,35.9
35.9,36.49,35.63,9620.01,34761.229,35.96
35.9,35.9,34.65,11362.23,39988.83,34.76
34.7,35.97,34.7,8135.04,28861.442,35.87
35.99,37.25,35.81,27250.79,99947.172,36.42
36.45,36.72,35.95,12182.6,44420.025,36.5
36.54,37.25,36.1,16809.52,62127.143,37.19
37.22,37.84,36.92,23284.78,87052.679,37.32
37.3,37.6,36.88,12279.32,45692.306,37.3
37.67,39.3,37.46,52195.41,202281.565,38.55
38.72,38.8,37.45,29109.62,111030.307,37.55
37.15,37.5,36.68,18942.95,70279.717,37.35
37.0,37.59,36.48,13286.64,48947.614,36.59
36.5,37.18,36.35,10606.82,38912.708,36.87
36.98,37.39,36.35,18815.55,69093.753,37.24
37.01,37.14,36.0,11834.75,43306.414,36.05
35.7,36.4,35.43,18718.51,67196.713,36.1
35.98,37.05,35.91,18247.41,66666.866,36.54
36.48,36.97,35.4,13974.33,50700.232,36.35
36.2,36.49,34.7,24180.31,85418.339,35.06
34.8,36.88,34.7,32262.08,116437.266,36.65
36.3,36.6,35.58,15755.93,56764.193,35.87
35.8,36.95,35.8,13485.67,49186.214,36.44
36.65,37.65,36.2,23336.48,86396.947,37.62
37.36,37.87,36.8,26615.8,99483.236,37.29
37.24,37.57,36.8,13941.12,51685.502,37.1
37.0,37.29,35.3,21667.82,77886.073,35.49
